#Acc_x;Acc_z;Elongation Droit;Elongation gauche;Gyro_x;Gyro_z;PressionPiedDArriereD;PressionPiedDArriereG;PressionPiedDAvantD;PressionPiedDAvantG;PressionPiedGArriereD;PressionPiedGArriereG;PressionPiedGAvantD;PressionPiedGAvantG
1500;1517;553;800;1792;1803;3037;1344;72;2090;3044;2419;1041;2843
1494;1514;553;801;1786;1806;3038;1382;72;2101;3044;2403;1042;2846
1498;1516;553;801;1786;1805;3037;1455;70;2101;3045;2406;1042;2842
1497;1520;553;801;1789;1803;3037;1313;73;2099;3045;2409;1041;2848
1497;1520;553;801;1789;1803;3037;1313;73;2099;3045;2409;1041;2848
1497;1517;554;801;1787;1800;3036;1463;72;2082;3044;2355;1041;2845
1498;1519;554;801;1786;1803;3037;1498;68;2087;3044;2354;1041;2839
1499;1520;553;801;1791;1803;3037;1441;70;2076;3043;2361;1041;2841
1499;1520;553;801;1791;1803;3037;1441;70;2076;3043;2361;1041;2841
1494;1517;553;801;1788;1801;3038;1452;72;2092;3045;2382;1041;2842
1493;1519;554;802;1790;1799;3037;1311;72;2097;3044;2398;1041;2840
1491;1522;554;802;1787;1804;3037;1323;71;2110;3046;2421;1041;2848
1494;1515;552;800;1796;1806;3031;1484;71;2105;3043;2419;1040;2835
1491;1512;553;799;1796;1809;3033;1553;70;2106;3041;2436;1040;2838
1491;1518;552;800;1791;1807;3032;1308;73;2106;3043;2435;1040;2841
1492;1517;552;800;1791;1803;3034;1254;72;2106;3042;2407;1041;2839
1496;1518;551;800;1791;1806;3035;1407;71;2105;3041;2392;1041;2835
1497;1519;552;800;1789;1804;3036;1282;72;2111;3040;2398;1041;2836
1494;1517;552;799;1794;1805;3035;1303;69;2097;3040;2410;1041;2842
1492;1518;552;800;1792;1807;3036;1380;73;2094;3041;2407;1041;2842
1492;1518;552;800;1792;1807;3036;1380;73;2094;3041;2407;1041;2842
1494;1518;552;801;1791;1806;3034;1421;71;2096;3041;2406;1041;2846
1494;1516;552;801;1793;1809;3034;1442;73;2098;3041;2400;1040;2843
1491;1515;552;800;1795;1806;3034;1537;71;2096;3041;2391;1041;2843
1495;1512;552;802;1791;1807;3035;1518;73;2092;3042;2409;1041;2841
1494;1516;553;802;1795;1807;3032;1409;69;2102;3041;2401;1040;2834
1494;1516;553;802;1795;1807;3032;1409;69;2102;3041;2401;1040;2834
1493;1514;553;801;1793;1805;3035;1295;72;2101;3040;2427;1041;2836
1493;1516;552;801;1791;1808;3034;1278;73;2093;3040;2423;1041;2836
1493;1519;553;802;1795;1807;3035;1144;69;2097;3040;2435;1040;2840
1490;1518;553;801;1795;1805;3035;1166;73;2103;3042;2430;1041;2839
1493;1517;553;802;1792;1804;3035;1184;70;2099;3042;2439;1040;2836
1493;1517;553;802;1792;1804;3035;1184;70;2099;3042;2439;1040;2836
1494;1514;553;800;1790;1802;3034;1234;72;2108;3042;2434;1041;2845
1494;1515;553;800;1788;1808;3035;1212;71;2099;3043;2427;1041;2845
1494;1515;553;800;1788;1808;3035;1212;71;2099;3043;2427;1041;2845
1496;1519;553;801;1796;1804;3035;1116;69;2128;3042;2432;1041;2845
1494;1516;552;801;1792;1806;3035;1105;71;2124;3042;2409;1041;2845
1494;1515;552;801;1789;1808;3036;1171;71;2128;3043;2412;1041;2844
1494;1515;552;801;1789;1808;3036;1171;71;2128;3043;2412;1041;2844
1496;1517;553;798;1791;1804;3036;1239;74;2136;3042;2429;1041;2846
1496;1517;553;798;1791;1804;3036;1239;74;2136;3042;2429;1041;2846
1492;1516;553;798;1792;1801;3036;1167;73;2127;3043;2430;1041;2847
1496;1517;552;798;1788;1802;3036;1154;72;2132;3043;2412;1041;2848
1496;1518;553;797;1789;1805;3033;1377;69;2137;3042;2430;1041;2848
1494;1516;554;796;1792;1806;3036;1402;70;2140;3043;2433;1041;2847
1494;1516;553;801;1793;1805;3037;1400;70;2137;3044;2435;1041;2845
1496;1519;553;799;1790;1802;3036;1469;73;2151;3043;2440;1041;2848
1489;1517;553;799;1791;1803;3037;1520;71;2154;3043;2440;1041;2846
1494;1519;553;800;1787;1806;3037;1584;73;2162;3042;2440;1041;2846
1493;1516;553;801;1790;1804;3037;1572;71;2155;3043;2434;1041;2842
1493;1520;553;800;1790;1804;3036;1492;71;2160;3043;2441;1040;2843
